Label,lumMean_UV_PETAL ,lumSD_UV_PETAL ,area_PETAL ,maxPower_PETAL ,maxFreq_PETAL ,propPower_PETAL ,sumPower_PETAL ,meanPower_PETAL ,powerSD_PETAL ,G_Mean_PETAL ,G_SD_PETAL ,B_Mean_PETAL ,B_SD_PETAL ,UVB_Mean_PETAL ,UVB_SD_PETAL ,UVR_Mean_PETAL ,UVR_SD_PETAL 
ER20B13,9.593,0.23,536,95.253,50,0.274,347.74,57.957,27.753,44452.949,16394.103,52607.923,12938.598,15127.641,3591.578,17479.952,3843.709
ER20B26,9.729,0.267,675,158.132,141.421,0.224,705.199,117.533,35.008,57776.797,10780.499,68758.277,10441.22,17412.402,4284.524,18892.09,4473.107
ER21B13,9.44,0.197,559,66.897,50,0.258,259.355,43.226,20.811,42539.665,13029.883,53728.306,10086.209,12851.907,2442.896,15241.013,2434.513
ER21B26,9.901,0.233,656,155.291,141.421,0.218,711.699,118.617,30.581,69652.724,18885.866,81317.812,14345.089,20521.15,4603.116,23851.54,4710.642
ER22A26,9.51,0.212,610,75.963,50,0.27,280.91,46.818,24.748,49714.699,11169.543,58564.067,7776.221,13837.812,2849.73,15966.14,3023.349
ER22B16,9.999,0.181,549,144.335,50,0.216,666.941,111.157,30.748,58200.491,17215.472,71223.497,15039.36,22460.946,4164.895,25278.582,4132.449
ER23B13,9.259,0.26,591,164.602,100,0.237,694.426,115.738,45.439,46828.195,10853.285,51683.636,9217.746,10881.645,2645.731,11994.82,2758.15
ER23B26,9.612,0.386,591,129.934,100,0.22,589.88,98.313,38.073,55935.094,15112.204,61618.693,14270.943,16237.761,6543.934,19600.906,6593.206
ER23B38,9.4,0.226,730,149.926,141.421,0.206,728.511,121.418,25.602,53745.12,11941.363,62628.736,12903.844,12437.388,2799.992,14675.116,3353.539
ER24B13,9.542,0.226,518,99.859,100,0.242,413.116,68.853,34.254,47705.158,16507.603,52289.885,13436.565,14334.464,3254.326,18750.987,3452.706
ER25A13,9.548,0.197,451,62.767,70.711,0.209,300.658,50.11,16.257,45652.747,15940.507,51860.367,13370.559,14373.695,2836.735,16481.724,2761.472
ER25A43,9.641,0.389,486,107.721,100,0.25,430.863,71.811,27.725,49935.962,14148.421,69002.052,17812.43,16605.955,6154.576,20224.738,6605.688
ER2A13,9.452,0.241,534,74.476,70.711,0.203,366.089,61.015,18.066,44009.503,12845.233,49450.452,8812.927,13167.495,3198.813,14507.998,2889.154
ER2A26,9.549,0.27,506,134.18,50,0.218,616.227,102.704,37.012,54849.778,12783.136,61881.267,8485.045,14557.268,3635.506,16594.968,4361.053
ER2B26,9.512,0.251,633,114.736,50,0.234,490.157,81.693,37.827,54302.376,11233.253,62171.036,9278.445,13977.3,3400.703,15581.999,3236.325
