Photo_Name,lumMean_UV_BLADE,lumSD_UV_BLADE,area_BLADE,maxPower_BLADE,maxFreq_BLADE,propPower_BLADE,sumPower_BLADE,meanPower_BLADE,powerSD_BLADE,G_Mean_BLADE,G_SD_BLADE,B_Mean_BLADE,B_SD_BLADE,UVB_Mean_BLADE,UVB_SD_BLADE,UVR_Mean_BLADE,UVR_SD_BLADE
BC5B43,9.637,0.168,329,131.941,70.711,0.226,584.751,97.459,34.121,55173.654,8868.248,66382.472,14233.548,15561.907,2548.725,17181.981,2603.346
BC6A16,9.516,0.262,384,42.151,200,0.23,183.586,30.598,9.471,48017.101,4822.379,62048.893,7869.567,14055.465,3472.629,16533.599,3412.239
BC6B53,9.327,0.224,366,64.262,282.843,0.19,338.535,56.423,9.547,43399.203,3836.796,58468.192,8507.861,11561.344,2546.302,13310.001,2718.189
DC2A98,9.594,0.19,442,132.504,100,0.264,502.415,83.736,44.931,34950.432,7211.99,53451.13,10506.368,14981.162,2799.364,16795.098,3648.408
DC7A206,9.26,0.254,379,51.34,100,0.26,197.529,32.922,16.705,32041.692,4571.857,37962.919,4607.142,10890.663,2680.438,13462.107,2441.943
EC10A318,9.606,0.242,451,181.895,50,0.225,809.848,134.975,51.262,44995.374,5553.791,70120.237,9246.604,15327.728,3539.936,17935.594,4118.448
EC13A333,9.757,0.222,427,172.678,70.711,0.225,767.986,127.998,48.143,39337.889,7661.01,60392.811,8383.812,17766.905,3880.101,19940.951,4211.035
EC14AL18,9.64,0.194,584,166.431,50,0.192,865.965,144.328,27.542,39713.437,4113.75,60786.146,6695.477,15691.757,2915.599,17152.338,3051.486
EC14AL28,9.724,0.195,585,130.829,70.711,0.207,633.099,105.516,25.874,40304.08,6380.764,62388.517,8889.036,17053.141,3191.918,18874.772,3510.499
EC6ALQ18,9.192,0.215,470,135.576,70.711,0.234,579.28,96.547,39.845,43039.79,6312.019,60242.142,5656.522,10070.296,2106.691,10963.727,2520.061
EC7A218,9.569,0.238,518,145.066,50,0.215,673.335,112.223,33.757,48858.153,5602.304,69854.363,6881.791,14751.417,3412.75,15602.044,2950.18
EC7A403,9.998,0.202,345,135.732,100,0.246,551.476,91.913,32.079,50429.199,7762.031,73854.775,11780.032,22526.225,4579.029,27812.777,4662.182
EC8A278,9.868,0.295,415,185.99,70.711,0.233,797.864,132.977,57.383,46814.262,9437.033,65303.349,9973.753,20139.24,5456.19,23897.206,5427.231
GP11A168,9.607,0.183,689,62.407,200,0.257,242.714,40.452,16.831,26542.931,6501.846,36303.112,6909.564,15129.984,2654.157,20761.271,2398.774
GP19A7L46,9.42,0.163,578,39.439,282.843,0.212,186.087,31.014,7.128,22293.36,3897.141,31282.74,5067.8,12512.983,2031.628,13051.332,2111.357
GP19A8L38,9.395,0.175,572,40.709,200,0.216,188.257,31.376,7.482,22948.743,4225.389,31974.286,5331.581,12237.266,2115.627,12889.367,2238.127
GP22A218,8.969,0.165,525,30.165,282.843,0.316,95.366,15.894,8.259,15624.043,3655.341,21242.346,4354.519,7980.418,1314.357,8123.132,1223.107
GP33A148,9.633,0.21,752,87.277,282.843,0.253,345.176,57.529,23.276,26030.911,5049.443,40641.182,6525.99,15614.353,3145.131,17332.646,2778.587
GP33A166,9.739,0.178,678,102.629,200,0.273,375.609,62.602,29.291,32481.568,6307.809,51016.255,6887.736,17254.927,2902.048,19082.422,2726.416
GP44A198,9.503,0.218,769,96.775,200,0.266,363.497,60.583,28.083,23034.846,4590.798,38925.703,7872.372,13729.304,2784.897,15099.032,2911.185
GP44A2L36,9.765,0.217,764,88.166,282.843,0.266,332.027,55.338,25.663,31250.731,5224.376,52322.649,6847.684,17858.357,3732.371,20083.947,4329.873
GP44A8L48,9.589,0.181,772,74.327,282.843,0.247,300.876,50.146,19.304,26398.695,6850.16,39763.848,7658.228,14883.263,2648.58,16793.423,2369.324
